O3	O3	Temperature	Temperature	CO	CO	CO2	CO2
51064984	0.09	-3.96	24.01	496.99	5.56	2.31	422.21
51064984	0.12	-5.9	23.95	481.02	5.63	2.29	422.21
3525.28	0.08	11.83	23.98	527.17	5.52	2.3	422.21
51064984	0.13	-3.32	23.87	527.17	5.53	2.3	422.21
51064984	0.04	-4.61	23.95	534.04	5.62	2.3	422.21
51064984	0.08	-4.61	24.03	494.95	5.59	2.54	447.55
51064984	0.02	6.35	24.17	520.45	5.29	2.39	447.55
51064984	0.14	-6.22	24.19	518.24	5.45	2.29	447.5
2512.27	0.17	7	24.2	511.71	5.41	2.51	447.55
51064984	-0.03	3.12	24.12	518.24	5.6	2.3	422.16
51064984	0.09	-8.16	24.17	505.32	5.53	2.3	422.21
3525.28	0.08	10.54	24.2	520.45	5.54	2.28	472.74
51064984	0.09	-6.54	24.26	496.99	5.46	2.28	447.5
1591.32	0.13	-9.77	24.26	492.92	5.41	2.28	447.5
51064984	0.09	-8.16	24.47	486.91	5.59	2.29	447.5
51064984	0.09	-8.48	24.32	501.13	5.32	2.58	422.16
51064984	0.01	0.54	24.44	471.46	5.45	2.64	422.11
51064984	0.05	5.06	24.37	505.32	5.53	2.3	447.45
51064984	0.15	-8.48	24.32	479.08	5.62	2.27	447.45
51064984	0.06	-8.8	24.29	486.91	5.44	2.6	422.21
51064984	0.1	-7.51	24.34	490.9	5.56	2.29	422.26
51064984	0.08	-5.58	24.4	503.21	5.41	2.28	422.11
51064984	0.13	-6.54	24.43	505.32	5.63	2.29	397.02
51064984	0.05	-6.54	24.31	505.32	5.52	2.28	397.02
51064984	0	-4.29	24.13	505.32	5.5	2.29	422.16
5888.81	0.01	-8.16	24.11	465.88	5.47	2.3	397.07
1591.32	0.03	-8.48	24.14	505.32	5.43	2.69	397.07
51064984	0.08	-9.12	24.21	507.43	5.47	2.3	422.16
51064984	0.04	-7.19	24.15	507.43	5.24	2.3	397.07
51064984	0.05	-6.54	24.2	467.73	5.41	2.3	397.02
51064984	0.06	-5.25	24.21	471.46	5.52	2.3	397.02
51064984	0.13	-6.22	24.12	496.99	5.6	2.3	422.16
51064984	0.07	-4.61	24.13	505.32	5.42	2.29	422.21
51064984	0.11	-6.22	24.1	465.88	5.41	2.35	397.02
51064984	0.18	-7.83	24.14	509.57	5.44	2.31	397.07
51064984	-0.07	4.41	24.04	513.87	5.43	2.73	397.07
1949.47	0.12	-5.9	23.89	518.24	5.54	2.3	397.02
51064984	0.05	-9.12	23.9	513.87	5.43	2.28	422.21
51064984	0.04	-3.96	23.81	513.87	5.54	2.3	422.21
51064984	0.03	9.9	23.73	516.05	5.35	2.69	422.21
51064984	0.05	-5.9	23.72	513.87	5.47	2.29	422.21
51064984	-0.02	11.83	23.77	513.87	5.5	2.65	396.97
1752.48	0.01	-9.77	23.71	520.45	5.49	2.46	422.21
51064984	0.15	12.16	23.71	522.68	5.52	2.55	422.21
51064984	0.04	-4.61	23.68	520.45	5.34	2.34	397.02
51064984	0.09	0.22	23.77	509.57	5.38	2.3	422.21
51064984	0.17	6.35	23.77	522.68	5.5	2.3	422.21
51064984	0.1	-7.83	23.8	529.45	5.39	2.67	397.02
51064984	0.11	-2.03	23.78	527.17	5.73	2.3	396.77
1752.48	0.09	3.77	23.73	490.9	5.63	2.44	396.62
51064984	0.02	1.51	23.71	541.06	5.47	2.3	396.72
